IPAddress,Describe,Time,Forgiveness,Morality,Tone,valenceThen_1,intensityThen_1,Valence Now,Intensity Now,revenge_1,revenge_1,revenge_1,revenge_1,revenge_1,Revenge,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_2,Avoidance,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,Benevolence,age,gender
96.228.30.3,"There was a time about 5 years ago where I was living in a house with 3 friends. There was a season where I liked someone romantically and was trying to pursue a relationship with this person. It didn't work out. But in the process, I found out that behind the scenes, one of my friends that I lived with also liked this person, but he never disclosed his feelings for her to me either. And I remember telling him about liking this person (while he liked her too).

Later, I find out that they started dating, and I felt emotionally hurt from that. More than the fact that she liked him in comparison to me, but rather that my friend would go behind my back. I felt like our friendship should've came first and that it would have not been a big deal at the end of day that they liked each other.

But over time, I was able to forgive him because it wasn't worth having a grudge and that being a Christian, it was better to forgive than to have grudge.

",43101,Yes,5,6,3,5,5,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1.142857143,6,7,7,4,7,7,6.333333333,29,Male
70.120.5.160,"I was harmed by a former manager who threatened to terminate everyone. Though this would have been illegal and she was a totally incompetent in her role, it caused emotional harm to a lot of us. However, I don't believe in holding grudges, so I forgave her.","March, 2015",Yes,7,1,1,7,1,3,1,1,4,1,1,1.6,7,6,7,4,1,4,5,4.857142857,4,7,7,7,7,7,6.5,63,Male
174.218.56.134,a girl i loved and wanted to marry rejected my proposal and went off to marry another man,"December, 2014",Yes,7,7,2,7,6,2,1,1,5,1,1,1.8,3,5,2,3,6,7,3,4.142857143,5,2,3,1,7,7,4.166666667,32,Male
69.115.81.123,"My ex husband is an alcoholic, and whenever he got too drunk he’d provoke people around him. There were countless times, he put me down and spoke to me abusively. Not only he mentally tormented me, he also physically abused me once. I was angry at the fact that he’s not willing to get help for the longest time. I even went to a deep depression myself because I couldn’t change anything. I ended up forgiving him as I know he had carried a lot of hurt himself.","October, 2018",Yes,7,1,1,7,1,7,1,1,1,1,1,1,7,1,6,4,1,2,6,3.857142857,7,7,7,6,6,6,6.5,51,Female
76.143.173.75,"My girlfriend cheated on me with another guy. I grew up with my girlfriend. We grew up together and practically did everything together. We started dating when we realized we love each other, only for her to go behind me and sleep with another guy she claim its just a friend. ",41579,Yes,7,1,1,7,6,1,1,1,7,1,1,2.2,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,33,Male
99.38.115.188,this was when my current organization decided to overlook me for a position i was very well deserving because the managers found out that i was a gay. this  really hurt me emotionally and also affected how i use to work physically.,"Jan, 2018",Yes,6,5,6,5,6,5,5,6,6,5,5,5.4,6,4,6,5,5,5,6,5.285714286,5,5,5,6,4,6,5.166666667,30,Male
71.162.6.120,I fought with my sister and she said some very insulting things. It caused me to lose trust. I questioned if she really even cared about me. It was very frustrating and hurtful. We eventually talked about it and I did forgive her.,43313,Yes,6,1,1,6,2,5,2,1,1,1,1,1.2,3,1,3,1,1,1,1,1.571428571,7,7,7,7,5,7,6.666666667,25,Male
212.102.40.177,A while ago a family member said a lot of bad things about me and that led us to hate each other. After a while he apologized and I was able to forgive him.,44713,Yes,7,2,2,7,4,4,2,1,1,1,1,1.2,1,1,2,1,1,1,1,1.142857143,7,7,7,7,7,7,7,33,Male
51.81.200.149,A while ago a relative fought with me over a dog that was killed. They told him it was me when it wasn't true and we went to blows.,44713,Yes,7,1,1,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,7,7,6.833333333,57,Female
172.56.153.148,"I was best friends with a girl since I was 4 or 5 because our parents dated for around 10 years. When they broke up we stayed friends and were inseparable, I was even her daughters god mom. However one night she was drunk and hit me in front of a bunch of people trying to act cool. I ended up forgiving her even though I was really hurt by her actions since shes like a sister. ",44652,Yes,7,1,1,7,2,5,2,1,1,1,1,1.2,2,2,2,1,2,2,3,2,6,7,6,6,5,6,6,23,Female
108.181.62.245,"A co-worker a few months ago spoke badly about me to my boss, that made me feel bad because I trusted him and I liked him as a person.",45017,Yes,7,2,2,6,2,2,1,1,1,1,1,1,2,1,3,2,1,2,2,1.857142857,6,6,6,7,7,7,6.5,22,Male
185.150.191.111,"A few months ago a family member was cheating on finances, that made me feel very bad so much that we stopped talking completely.",44927,Yes,6,2,2,6,2,4,2,1,2,1,1,1.4,2,2,4,1,2,1,2,2,6,6,6,6,7,7,6.333333333,30,Male
76.49.10.96,I had a friend yell and curse at me in front of my child about nine months ago. I was so upset and hurt because it made other friends take sides and just made my relationships with others worse. I ended up thinking about what happened over time and wanted to make amends with my friends and we did and I think that helped us become even better friends.,45017,Yes,6,2,2,6,2,5,1,1,1,1,1,1,1,1,2,2,1,1,2,1.428571429,7,7,7,7,7,6,6.833333333,50,Female
73.168.108.4,"I had someone who I thought was my friend who I wanted to hang out with because I had moved from another city to a new one, and wanted to spend time with others. I thought this person was my friend because they would say stuff like ""oh you're my best friend!"" and ""You're the only person I can talk to you about this kind of stuff!"" but then I started noticing over time whenever I would ask her to hang out she'd always have an excuse. At first I thought she was really having issues with her car or just genuinely could not make it, but after years of excuses, her finally making a plans twice then flaking out on me last minute or apologizing to me days later, I realized this person was not my friend but just wanted to use me to vent about their problems and then never talk to me again unless they needed something. I decided to give this person another chance, despite really thinking they were a crappy friend, but I ""demoted"" them to an acquaintance and someone I would rarely talk to, never invite to anything, and just decline any invitations she gives me.",45139,Yes,5,1,1,5,1,6,2,1,1,1,1,1.2,7,6,7,7,6,7,7,6.714285714,4,2,2,1,3,4,2.666666667,28,Female
76.34.226.172,Someone told very harmful lies about me that ostracized me to my son's entire family,"june, 2013",No,7,1,1,7,1,2,1,1,1,1,1,1,7,4,7,7,7,7,7,6.571428571,7,4,7,1,5,5,4.833333333,39,Female
75.142.49.165,"I was in my senior year of college and I was very in love with my partner of the time. They were supposed to come visit me at school but they called me a couple days before their visit and broke up with me over the phone. I was devastated. They gave no specific reason for the break up and told me they still loved me, but couldn't do it. I was in my bedroom when they called, sitting on my bed. I never saw them again.",43739,No,6,1,1,7,3,6,1,1,5,1,1,1.8,5,3,7,5,7,7,6,5.714285714,3,5,2,1,3,3,2.833333333,25,Female
67.48.17.140,My father started a fight with me on my birthday.  He began yelling at me and told me some mean things.  It was in front of my husband which was embarrassing.  It was at a party at my house.,"June, 2021",No,6,1,1,7,4,4,1,1,1,1,1,1,6,2,6,5,3,6,4,4.571428571,2,2,4,2,2,2,2.333333333,49,Female
64.139.249.170,"My mother decided one day to find a new place to live. She didn't tell me, and the only hint I got was her leaving a paper detailing her new address on the table. It was a cowardly move, especially she previously tried to evict me from an apartment I was co-leasing with her. She never tried to get along and she never tried to fix our relationship. She always hated me and I to this day still don't know why. I will never forgave her for what she has put me through, following that incident.",41122,No,7,1,1,7,1,7,4,4,4,4,4,4,7,7,7,7,4,6,7,6.428571429,2,2,1,2,2,3,2,31,Male
160.3.43.120,"I am the only biracial person in an all white family. I have a half brother who has always been a problem. Over the past years, the half brother had seemed to grow prejudice even racist towards black people. In high school, I would have to hear his racist bantering all the time while everyone else was gone. He was violent and a full blown narcissist with not much to lose. He could've done anything to me fueled by hatred. I know he has a disdain for me. I will never forgive him for becoming such a cruel person and giving up on life it seems.",May 2015 to now,No,7,1,1,7,1,4,6,6,7,4,5,5.6,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,22,Female
76.124.244.115,"In college, the ex girlfriend of my boyfriend stalked me on our college campus.  She also stalked my social media which resulted in me having to shut down the Facebook I had at the time.  This was a situation that scared me and affected the relationship with my then boyfriend and my friends.  Even my parents reached out to the school because they were so concerned about this person coming after me and even vandalizing my car.

Unfortunately, this person assaulted me on school property because I told her that I was sick of her following me around.  It resulted in me nearly being expelled from that college because administration thought that it was a ""cat fight"".  This drove home what the definition of ""victim blaming"" is, as I was being accused of being just as responsible for the incident as someone who had been essentially stalking me for a period of time and eventually put their hands on me.

In the end, I was not expelled and neither was that person, although the entire experience taught me a valuable lesson about how malicious people can be.  Even more was how broken disciplinary systems are and how that harms victims from coming forward when they experienced injustices.",40299,No,7,1,1,7,1,7,5,2,6,2,3,3.6,7,7,7,7,7,7,7,7,2,1,1,1,3,1,1.5,36,Female
76.213.126.82,"I was casually dating a guy I went to college with. We had gone on numerous sushi dates, and were moving at a moderate pace. We went back to my apartment after one date to watch a movie. He was seemingly fed up with moving too slowly sexually, and raped me. He gaslit me after until the point where I questioned if it even happened, or if I did enough to stop it.",Unsure / July 2019?,No,7,1,1,7,1,4,7,7,7,7,7,7,7,6,7,7,7,7,7,6.857142857,1,1,1,1,1,1,1,25,Female
71.162.250.138,I worked for my husbands family business. My father in law ran the store but my sister in law was his right hand person.  I worked primarily at the store front and was the point of contact for everyone that visited the store.  My sister in law somehow convinced my father in law that it made sense for him to put the business in her name for inheritance purposes and taxes and when that happened she forced me out of the company and I no  longer had a job,November November 2017,No,6,2,2,1,1,7,3,4,6,1,3,3.4,7,6,7,7,7,7,7,6.857142857,3,3,3,3,3,3,3,60,Female
69.53.49.137,"My best friend at the time cut me off completely from all communication. He blocked my phone number, he blocked me on social media, he even blocked me on Skype. He never gave me a reason for it. After a few years, he reached back out to me, and I asked him why he'd cut off communication. He told me he couldn't remember.",41944,No,6,1,1,6,2,3,1,1,1,1,1,1,5,5,5,5,5,5,4,4.857142857,3,3,3,2,6,4,3.5,40,Male
38.40.0.112,"I was sitting in my girlfriend at the time's bedroom, and we were talking. She told me she had to take a phone call, which was fine, so she took it. She then started laughing as she was talking on the phone, and when I asked what was so funny, she waved me off. The call lasted ten or so minutes, and when she came back, she told me she'd been talking to the guy she was cheating on me with. It felt like I'd been punched in the stomach.","October, 2018",No,7,1,1,7,3,2,1,1,1,1,1,1,6,7,7,6,6,6,7,6.428571429,1,1,2,1,1,1,1.166666667,25,Male
73.98.189.5,"A few years ago, I was in a relationship with S. We had only been together for a couple of months, but I really liked him and had for a long time. M was a friend of mine, and I always thought I could trust her. However, she was jealous that I was with S and she was not. At a party, while S was drunk and I was not around, M made a move on him and kissed him. She then posted online about the kiss, and ended up convincing S to break up with me.",43191,No,6,1,1,7,2,4,5,4,6,4,5,4.8,7,6,7,7,7,7,6,6.714285714,1,1,1,1,1,1,1,22,Female
174.218.170.45,"Just a few months ago, I was having an emotional breakdown and my husband replied with, ""I cannot be here right now, I will see you when I see you."". My husband took the keys and left my parent's house and went back home. I was expecting him to be there for me like I am for him when he needs someone. That hurt me emotionally and I never forgave him for it and do not really confide in him or go to him when I am in need. A sense of trust was damaged that day.","August, 2023",No,5,1,1,6,1,4,2,1,1,1,1,1.2,3,2,6,3,1,5,5,3.571428571,7,5,6,7,3,4,5.333333333,35,Female
99.146.37.127,In high school there was a girl who I was best friends with. She then became really mean and wanted to be friends with the popular girls. She no longer wanted to be my friend. She stopped hanging out with me and talking to me.,42644,No,5,2,2,6,4,4,2,1,1,1,1,1.2,4,6,5,3,4,6,2,4.285714286,6,6,6,3,6,3,5,24,Female
68.43.103.223,"The person who harmed me was one of my friends in school. They did not have my back or felt embarrassed to talk to me in front of a group of people I cannot stand fake friends or people that want to pretend to be someone they are not. I will never forgive a person who cannot show their true colors initially and at least if you are blunt, I can accept that because at least you know what you want. ","May, 2014",No,5,2,3,5,2,5,2,1,5,1,1,2,7,5,7,6,7,7,1,5.714285714,2,2,1,5,6,1,2.833333333,28,Male
73.98.228.95,"My husband has cheated on me multiple times. He cheated on me when we were dating, when we were engaged, and then in our marriage as well. I have forgiven him and probably never will. He lied about it and then tried to blame me for it. ","December, 2021",No,7,1,1,7,1,7,4,6,6,3,5,4.8,5,3,7,5,3,5,6,4.857142857,2,3,3,3,2,3,2.666666667,25,Female
76.189.67.150,"My son was visiting for the holidays.  We were gathered at our house, and it included friends and family.  One person started talking about politics with my son.  They were making very insulting comments, and said anyone who supported them, the insults were the same for them too (neither were Trump supporters).  My son felt attacked, and defended himself, the other person escalated it, said very inappropriate comments to both me and my son, and left stating that they could not believe how I raised someone like that.","December, 2021",No,6,2,6,6,2,4,1,1,1,1,1,1,4,7,5,7,7,7,7,6.285714286,4,2,1,1,4,4,2.666666667,60,Female
97.102.166.53,"I was working at a bar and a coworker, who I thought was a friend, turned on me because I was friends with another worker and they had a falling out. The friend who hurt me, was jealous of the other friend and she started treating me very badly, making rude comments, not speaking to me, I did not want to come to work because she made it so miserable. She was also somewhat violent and I worried she might do me physical harm.  She eventually was fired but I never forgave her for her actions. ",41852,No,6,2,1,7,3,6,1,1,1,1,1,1,6,7,7,7,7,7,7,6.857142857,3,3,2,2,4,2,2.666666667,68,Female
184.102.69.21,"My husband physically harmed me one night after he was out drinking with a friend. He came home very late and told me he was at a strip club and that he had spent our christmas money. I was very upset and hurt, so I began yelling at him and he pushed me against the wall and put his hands around my throat. He then threw me to the ground and put me in a head-lock. I thought I was going to die but lucky for me, he let me go. He yelled horrible things at me and said that he could have killed me if he really wanted to. I am still married to him, and I love him, but I will NEVER forgive him for those actions. ",43070,No,7,1,1,7,1,7,1,1,1,1,1,1,1,1,3,1,1,1,3,1.571428571,6,2,7,7,3,6,5.166666667,33,Female
104.52.131.63,"In this event, I came out as bisexual to my parents via a note. My mom didn't respond well at all. For six weeks after that, she would talk to me constantly about it, tell me things about my past and hers that indicated that there was no way I could be queer, and said some very, very hurtful things that affected me for a long time. By the end of six weeks, I'd told her that I wasn't queer anymore and she was really relieved. We haven't really talked about it sense and it's destroyed my relationship with and view of her.",41579,No,5,1,1,4,1,5,1,1,1,1,1,1,7,3,7,6,3,7,7,5.714285714,5,3,5,4,1,2,3.333333333,26,Non binary / Other
75.173.82.64,"My cousin who I drove around nearly everyday because she didn't have a car and was pregnant. I didn't ask for gas money or anything I just was her transportation everyday and in the end I spent thousands on her, I'd get her food too. We became like ""best friends"" (her words) but I found out from multiple sources she was making fun of me behind my back (i'm on the spectrum). It all came to a head when I caught her stealing from my debit card and then we unleashed on each other and she told me all I was good for was driving and then she made fun of my car. We ended up in a physical fist fight. Even though we're civil now I haven't forgiven her for the way she smugly put me down when she was mad at me (not even the hitting part, I'm mad over her words) . I gave that girl my all. ",43891,No,6,1,1,7,3,4,2,5,7,1,3,3.6,3,5,7,6,7,7,2,5.285714286,2,3,5,1,4,1,2.666666667,28,Female
98.227.181.5,"I was living in another city at the time.  I was leaving a pub after a fun night out.  As I was walking home I was physically attacked by someone on the street. I fended the intruder off, thankfully. I was traumatized by the event.","April, 2004",No,7,1,1,1,2,3,2,4,6,2,3,3.4,7,7,7,7,7,7,7,7,1,1,1,1,6,1,1.833333333,50,Male
174.135.122.28,My child's father harmed me. He was threatening and we were fighting. He ended up punching me in the face and gave me a black eye. I never was in a relationship with him again and I never forgave him.,42248,No,7,1,1,7,1,4,2,4,5,2,4,3.4,7,7,7,4,7,7,7,6.571428571,1,1,1,1,4,1,1.5,42,Female
74.80.38.108,IN JULY 2019 A FAMILY MEMBER SENT ME A TEXT EARLY IN THE MORNING BEING REALLY DISRESPECTFUL TO ME AND IT WAS OUT THE BLUE BECUASE WE SAW EACH OTHER A FEW DAYS PRIOR. HE WAS LIKE A BROTHER TO ME AND HE KNEW WHAT I WAS PERSONALLY GOING THROUGH AND HE WANTED TO BE A COMEDIAN. WE NO LONGER TALK AND I AM 100% OKAY WITH THIS. ,43647,No,5,6,5,5,6,6,4,5,7,4,6,5.2,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,30,Female
216.63.187.39,My friend encouraged me to tag along as she stole merchandise from a store in the mall. She then accused me of doing the same thing with her once she was caught. I was incredibly frustrated that I got in trouble with the law for something I did not do. I was made out to be a bad person.,42979,No,6,2,1,6,1,5,1,1,6,1,1,2,7,7,7,7,7,7,6,6.857142857,1,1,2,1,2,1,1.333333333,20,Female
99.100.247.236,"My sister wanted me to watch her house while she went out of town. Because it was my birthday, I told her no that I needed to stay home with my family. She then told me she would not be doing anything for my birthday and cut contact with me.",43497,No,6,2,1,5,1,4,1,1,1,1,1,1,7,7,4,7,7,7,7,6.571428571,3,1,2,1,3,1,1.833333333,38,Female
74.90.138.155,My boss used to be mean to me. I don't think I have forgived them for yelling at me so much and being so demanding. The were not sympathetic. They showed me no love. They only thought for themselves,44348,No,5,2,2,5,2,5,4,4,6,5,4,4.6,6,6,6,4,4,4,4,4.857142857,1,2,4,4,2,4,2.833333333,32,Male
104.59.102.143,"I suppose a really good example would be my own mother unfortunately, although me and my brother are adopted so that might provide some comfort. She isn't our real mom. She was always hitting us and things like that, but one morning in February she let me have it. I had just walked in from outside and could tell she was in a bad mood, abuse works that way, you learn to tell when they're upset and stay out of the way. I had to print something out for college though so there was no way around it, all I did was look up at her, but that was enough. She came at me, punched me, slapped me, I went to run but she grabbed me by my hair and started slamming me into the cabinets and the metal screen door that led to the backyard. Eventually, she let me go, I called into work that day crying as she kicked me out. I went and stayed with some friends and went to the hospital, I had a concussion and a lot of bruising. ","February, 2020",No,7,1,1,7,2,6,1,1,1,1,1,1,7,6,7,7,5,7,5,6.285714286,7,2,5,3,3,3,3.833333333,22,Female
135.26.15.100,"a friend from childhood that i got into a fight with, that's who i don't forgive. they hurt me really bad. it's hard to believe they'd want to kill. but they sure did.","June, 2014",No,3,3,4,5,4,3,3,5,5,5,4,4.4,4,4,3,5,3,3,4,3.714285714,3,5,3,3,4,5,3.833333333,76,Female
70.44.94.194,"When my dad was dying, my mother turned on both my sister and me and eventually froze us out of the family. It was devastating and heartbreaking and I feel like I've just recently healed from the whole experience. I can confidently say that there's no possibility of forgiveness.",43435,No,7,1,1,7,1,7,7,4,7,4,7,5.8,7,7,7,7,7,7,7,7,1,1,1,1,4,1,1.5,39,Female
73.53.89.173,"One of my friends was supposed to be a groomsmen, but he backed out at the last minute. He said I wasn’t truthful about a few details, but in fact it was him that was lying. He called me out in front of lots of people a few days prior. I never forgave him and we went our separate ways.", April 2016,No,6,1,1,7,3,5,3,4,4,3,3,3.4,7,7,6,7,6,6,6,6.428571429,3,3,2,2,5,2,2.833333333,39,Male
69.249.129.123,"In May of 1998, my boyfriend cheated on me with my best friend.  I was absolutely devastated by it, and I never forgave either one of them.  I was hurt beyond belief to find this information out.   It still hurts to think about it today.",35916,No,7,1,1,7,1,7,5,7,7,6,7,6.4,5,7,7,7,7,7,7,6.714285714,1,1,1,1,1,1,1,52,Female
76.150.162.171,"When I was in college I had a falling out with a close female friend of mine. We were close friends and had an emotional and physical relationship. But one night when she was drunk she started to yell a lot and I said mean things that hurt me emotionally. Although she was drunk, I was unable to forgive her. Because she never apologized for what she said.",41730,No,3,2,2,5,3,3,1,1,1,1,1,1,4,3,5,2,5,5,5,4.142857143,5,2,2,2,2,1,2.333333333,32,Male
69.171.95.202,A time that a person harmed me emotionally and physically where I couldn't forgive them happened in high school. This person was a stranger that was walking around the light rail station while I waited on a friend. The train was only a few minutes late but this person decided to try to steal my phone. I had never been assaulted or had to be violent with anyone before so it was very emotionally hard. This person assaulted me after they couldn't get my phone. ,Summer 2014,No,6,1,1,3,2,3,1,1,5,1,1,1.8,7,7,7,7,7,7,7,7,1,1,1,1,5,1,1.666666667,28,Female
74.96.69.224,"My stepfather was a raging alcoholic. He physically abused my mother, abused my step-brothers and destroyed my family for a brief period of time. He was an absolute monster and someone that I hate to this day despite his death. He chose alcohol over everything in his life and had absolutely no control over it. He was thrown out of the house and continued to bother us for years through, stalking, verbal abuse and virtually any other means to inflict harm. He ultimately moved away to Indiana after getting a large inheritance check from his parents. He later passed due to liver failure. I absolutely despise than man to this day. ",41640,No,7,1,1,7,1,7,1,7,7,1,7,4.6,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,42,Male
173.70.112.148,"About 8 years ago, a friend of mine went behind my back and said a lot of very mean things about my wife and I to some other friends. I didn't find out for some time, but when I eventually found out what had happened, I decided that it was best to fully break off contact with this friend. I have not forgiven them, and I no longer wish to have a relationship with this person. ",42186,No,5,3,2,5,4,4,1,1,1,1,1,1,5,7,6,4,7,7,5,5.857142857,3,1,1,1,3,2,1.833333333,40,Male
209.174.200.153,"I never forgave my cousin who wronged my while we were living together in a duplex. She made some nasty posts about me on social media, and turned a lot of people against me. She was very rude to me emotionally, and made sure that she turned the others against me as well. ","May, 2016",No,6,2,2,6,2,6,1,2,6,5,5,3.8,2,2,6,5,5,5,3,4,3,3,5,3,5,6,4.166666667,33,Female
172.112.34.250,a teacher called me a failure and that i would never amount to anything. they proceeded to talk about coming from a single parent home as well as being a child of an immigrant. they mocked me and my family in front of the whole class. no one stood up for me and they only stopped because class was over,"november, 2011",No,7,1,1,7,1,3,3,7,7,3,7,5.4,7,7,7,7,7,3,7,6.428571429,1,1,1,1,5,1,1.666666667,32,Male
24.163.31.61,"at work one day i was accused of not doing my job and a machine malfunctioned . the accusation was made by a co worker i considered a friend, but who was only interested in advancing at any cost. i was later proven right. i had done the job correctly. but i did not forget this experience",44013,No,6,3,6,6,3,6,3,3,5,3,3,3.4,6,5,6,6,6,6,6,5.857142857,3,2,3,2,5,3,3,65,Male
174.219.235.51,"I do not know who exactly it was but I will never forget what happened. My brother and I were in high school and we were coming back home for the day on the school bus. As the school bus dropped us off, we walked to our front door, we realized someone had broken in. The door windows were smashed in and the front door knob was unlocked. The inside of our home had been turned upside down and the only thing missing was my moms extensive jewelry collection that she had been accumulating her entire life, with key pieces that she planned to give to me on my future wedding day. ",41699,No,7,1,1,7,2,4,6,7,7,4,7,6.2,4,4,7,4,4,6,1,4.285714286,1,1,1,1,4,4,2,25,Female
108.234.77.33,"My wife and I were not getting along, so I guess she decided to go mess around and start doing drugs with her ""friends"".  Things ended up getting worse, so I took my kids out of state with me for 6 months for our safety.  I decided after around 6 months that I was going to get fight to get my family back together, and so, that's what I did.  I have never forgave her for this and we are still together, but a parent should never ever ever ever put any of their children in any kind of danger, EVER!",42186,No,7,1,1,7,1,7,6,3,5,1,1,3.2,5,1,7,1,3,5,7,4.142857143,5,7,7,6,2,3,5,48,Male
148.74.242.86,"a friend of mine told someone a secret of mine and got me fired from my job. he knew what would happen and he did it anyway. after that he stopped being my friend, he completely turned his back on me.","January, 2010",No,5,2,3,5,3,3,1,1,4,1,1,1.6,7,5,5,5,5,5,5,5.285714286,4,3,3,3,3,3,3.166666667,48,Male
169.150.169.172,My friend got us into a car accident because of her texting and driving. She turned the car so that I would get most of the impact and lied to first responders that i was driving when I was still trapped in the car. She never came to check on me or apologize,43862,No,7,1,1,7,1,6,1,6,7,1,4,3.8,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,23,Female
208.107.5.239,"Several years ago, while working in the IT field, I faced a situation where a colleague intentionally spread false rumors about my performance within the team. This created a hostile work environment, impacting both my professional reputation and personal well-being. Despite attempts to address the issue through internal channels, the matter was not resolved satisfactorily, and I found it challenging to forgive the individual for the emotional distress caused. This event serves as a hypothetical example of a workplace conflict that, if real, would require careful resolution and professional mediation.","March, 2011",No,5,6,2,6,2,6,5,6,5,3,6,5,5,5,5,5,5,5,6,5.142857143,2,5,2,2,6,3,3.333333333,40,Male
172.223.180.236,I was in a past relationship. I was emotionally abused. I am to this day still on edge in my relationships. I can never forgive them for the damage they did to me.,"December, 2017",No,3,1,2,2,1,6,2,4,5,3,4,3.6,7,7,7,7,7,7,7,7,1,1,1,1,2,1,1.166666667,43,Male
73.136.28.205,"My former ex-wife harmed me back 2 years ago in that December. She had lied to me and had been cheating on me with multiple people. She finally confessed but it hurt me deep emotionally and took me a long time to recover, for that I never forgave her again.",44531,No,6,2,1,6,1,6,6,5,4,3,2,4,6,6,6,3,3,6,5,5,2,3,6,5,3,3,3.666666667,32,Male
172.56.32.31,My aunt D called my aunt E husband to shame him for having my Aunt E body cremated. He took it so hard he ended up in the ER. My aunt C ending up telling everyone this happen. My aunt D thought I was the one she told and sent me nasty messages about myself. She was mad because when everybody got the chance to speak about my Aunt at the memorial they basically gave my aunt E husband praises on being a good husband and don't listen to what anybody say.,44470,No,6,1,2,6,3,5,1,1,1,1,1,1,7,5,7,7,7,7,4,6.285714286,4,1,1,1,3,1,1.833333333,34,Female
216.105.70.70,"My best friend asked me for some help when she was moving about seven years ago. We were really close and I thought nothing of it, so I helped her move and actually drove the Uhaul to her new house a few hours away, etc. I was very helpful the entire moving day. A few weeks later her ex boyfriend said we stole some of his stuff, and I was completely unaware of it. I asked for more information and he showed she had stolen stuff from his house and I had accidentally helped drive the stolen items. My friend was arrested and I haven't talked to her since, as she tried to make me an accomplice, and I was just helping a friend. ","October, 2017",No,6,2,1,7,1,4,4,4,5,3,4,4,7,7,7,7,7,7,7,7,2,3,2,3,4,4,3,38,Male
172.251.153.170,"In law that can exhibit toxic behavior and excessive negativity constantly and subtly made negative remarks to question ourselves even during good times.  This person would make subtle, negative remarks to introduce doubt and possibly just make them feel better about themselves. One such event is when we moved into a nice house in an extremely safe neighborhood within a stellar school district on the West Coast. They live in a flyover red state and would hint that our area is not safe despite statistics pointing out that our area is statistically safer than any place in the South.",43525,No,5,2,2,3,1,5,6,3,6,4,4,4.6,7,7,7,5,7,5,5,6.142857143,2,1,2,1,3,1,1.666666667,50,Male
71.184.135.151,"My mom had a stroke which she eventually died to, but when she was in the hospital my cousin from California came to visit.  She was there to be supportive, but we got into a heated argument over finding long term care facility.  She is a project manager and tried to project manage me into doing tons of work and I was emotionally and physically not in a good state to do it her way.  She was being condescending about it and I lashed out to her and she lashed back.  I have not really forgiven her for the interaction.",42705,No,4,1,1,1,1,4,1,1,4,1,1,1.6,4,2,1,7,4,6,4,4,5,4,5,3,1,2,3.333333333,41,Male
75.83.77.74,"My aunt stole basically all of my grandfather inheritance by sticking him with horrible caretakers who exploited him and his wife, caused them horrible quality of life, and literally spend all of their money. I hate to talk about this, but it's horrible. I will never forgive her",37773,No,7,1,1,7,1,6,4,1,5,4,1,3,7,7,7,7,7,7,6,6.857142857,3,1,1,1,1,5,2,38,Female
99.162.252.248,"A friend of mine disrespected my mother, and I confronted him about it. He refused to apologize to make amends. It hurt me because we were such good friends and I was always respectful towards his mother.",43556,No,7,1,1,6,1,5,1,1,4,1,1,1.6,7,7,5,7,7,7,7,6.714285714,1,1,1,2,2,1,1.333333333,54,Male
99.109.93.84,I was a teenage ten years ago when I was robbed from somebody from behind me. The person had a knife and hold me until he took off my belongings. I never knew who this person was but I could see that it was a male.,41334,No,7,1,1,5,1,5,4,4,4,4,4,4,4,4,4,7,4,4,1,4,4,4,4,4,4,4,4,29,Male
47.201.230.14,"Often times my dad would come home from work upset. I would hide in my room or try to look productive, but most times would still get yelled at. He would yell at me for just about anything or would yell about something else. On occasion he would throw or break things and as a kid it was very scary.","January, 2010",No,7,1,1,7,2,4,1,2,4,1,2,2,4,2,5,4,1,5,6,3.857142857,3,3,3,3,2,3,2.833333333,18,Male
67.160.113.168,"I was emotionally harmed by my partner and their (other) boyfriend. The relationship to my partner was fraying, and the boyfriend really stuck the knife in. The boyfriend--handsome and cosseted--was like my partner's id-on-a-leash, a chaotic malevolent person who did the damage so my partner didn't have. First the boyfriend was unleashed on my partner's marriage (to L, not to me), and then when that was done he was turned on me. The partner broke up with me in the middle of a trip, in the woods. I had to go on camping and even fly back with them.",43344,No,6,1,1,7,1,5,1,6,7,1,7,4.4,7,7,7,7,6,7,4,6.428571429,1,1,1,1,1,1,1,61,Male
75.174.61.230,"Several years ago, an individual borrowed $100 from me promising to pay me back within a month. Well, a month passed and this person not only didn't pay me but gave me the silent treatment and became unreachable. I remember being disappointed and angry that this person would not honor their promise. I learned a valuable lesson about lending money to acquaintances. ",43739,No,6,2,1,2,3,4,1,4,3,3,3,2.8,3,7,7,3,3,5,6,4.857142857,3,3,3,3,4,4,3.333333333,46,Male
